,index -- streamlit-generated,value
0,0,0.006275123916566372
1,1,0.04690626636147499
2,2,0.025287054479122162
3,3,0.006165619008243084
4,4,0.01780732162296772
5,5,0.0054847500286996365
6,6,0.012973319739103317
7,7,0.02685745432972908
8,8,0.005914934445172548
9,9,0.006254725158214569
10,10,0.006064051762223244
11,11,0.047070782631635666
12,12,0.025186914950609207
13,13,0.006409568712115288
14,14,0.017566565424203873
15,15,0.005284835584461689
16,16,0.013859361410140991
17,17,0.025639234110713005
18,18,0.00619044154882431
19,19,0.005882349796593189
20,20,0.005556060466915369
21,21,0.04683943837881088
22,22,0.025197185575962067
23,23,0.006527797318994999
24,24,0.017367368564009666
25,25,0.005686613731086254
26,26,0.013075127266347408
27,27,0.025045618414878845
28,28,0.006004630122333765
29,29,0.005703606177121401
30,30,0.0055737243965268135
31,31,0.04666506126523018
32,32,0.025239987298846245
33,33,0.006174279842525721
34,34,0.01737496256828308
35,35,0.005313274450600147
36,36,0.013084238395094872
37,37,0.024783790111541748
38,38,0.005922962911427021
39,39,0.005673184525221586
40,40,0.005597180686891079
41,41,0.046654049307107925
42,42,0.025302208960056305
43,43,0.006191379390656948
44,44,0.017352860420942307
45,45,0.005525401793420315
46,46,0.012707787565886974
47,47,0.024726709350943565
48,48,0.005742254666984081
49,49,0.005665877368301153
